query,title,year,venue,authors,cited_by_count,concepts,source
sensorless motor drive mras smo ekf,Sensor fault diagnosis strategy based on rotor flux observers in three-phase induction motor drive,2025,Scientific Reports,Cuong Dinh Tran; Martin Kuchař; Vojtech Sotola; Nguyễn Duy Phương,1,Robustness (evolution); Control theory (sociology); Dependability; Computer science; Induction motor; Fault detection and isolation,OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Optimization of Robotic Arm Scheduling Based on Catfish Optimization Algorithm and Q-Learning,2026,Research Square,Lu Kong,0,Scheduling (production processes); Adaptability; Computer science; Genetic algorithm scheduling; Job shop scheduling; Mathematical optimization,OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,From Academic Theory to Management Jargon: Exploring the Evolution and Ideology of the Concept of Mindset,2026,American Journal of Management,Marco Blank; Manuel Nicklich; Sabine Pfeiffer; Stefan Sauer; Amelie Tihlarik,0,Underpinning; Mindset; Ideology; Sociology; Epistemology; German,OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Hybrid MIRL and ACO-based Approach for Real-Time Path Planning in Visual SLAM,2026,Informatica,Jin Li; Chunyu Yang,0,Reinforcement learning; Computer science; Scalability; Scheduling (production processes); Flexibility (engineering); Motion planning,OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Communication-Based Social Network Search Algorithms Are Used for Numerical Optimization and Practical Applications,2026,Symmetry,Jichao Li; Luyao Chen; C B Li,0,Computer science; Benchmark (surveying); Convergence (economics); Software deployment; Mathematical optimization; Stability (learning theory),OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Multi-UAV Navigation for Surveillance of Moving Ground Vehicles on Uneven Terrains via Beam-Search MPC,2026,Applied Sciences,Y Liu; Andrey V. Savkin,0,Computer science; Robustness (evolution); Digital elevation model; Terrain; Model predictive control; Kinematics,OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,UAVs as Dynamic Nodes in Communication Networks,2026,arXiv (Cornell University),Riddhi Apte; Shubhada Gadgil; Gaurav Kasbekar; rushikesh patil; Prasanna Chaporkar,0,Software deployment; Computer science; Architecture; Telecommunications network; Drone; Computer network,OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Dynamic-opposite learning enhanced meta-heuristic approach for solving multiple industrial optimization problems,2026,Scientific Reports,Hao Wu; Lijuan Li; Guohui Wang; Zhile Yang; 石斌宏,0,Computer science; Artificial intelligence; Mathematical optimization; Optimization problem; Machine learning; Industrial engineering,OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Adversarial path planning for optimal CCTV surveillance: a case study on nuclear facility security optimization,2026,Scientific Reports,Ahmed E. Salman; Noha Shaaban; W. I. Zidan; Mohamed H. Saad,0,Computer science; Adversarial system; Probabilistic logic; Ant colony optimization algorithms; Particle swarm optimization; Intrusion detection system,OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,A hybrid intelligent optimization algorithm combining weighted K-means clustering and improved ABC for optimal deployment of prehospital emergency heliports,2026,Scientific Reports,Xuejun Hu; Dong Li; Tongjie Zhang; Lining Xing; Yong Liu; Peng Gao,0,Computer science; Software deployment; Cluster analysis; Key (lock); Convergence (economics); Process (computing),OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Clever vermin? Collective intelligence in rats and roaches,2026,Philosophical Transactions of the Royal Society B Biological Sciences,Bruce Rawlings; Gillian L. Vale; Cristine H. Legare; Marie‐H. Monfils; Darby Proctor; Sarah F. Brosnan,1,Typology; Collective intelligence; Empathy; Cognition; Variety (cybernetics); Set (abstract data type),OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Optimization of Low-Altitude Vertiport Network Topology Resilience,2026,Aerospace,Hua Xie; Ziyuan Zhu; Jianan Yin; Yuhang Wu; Long Zhou; Qingchun Wu,0,Network topology; Redundancy (engineering); Computer science; Topology (electrical circuits); Topology optimization; Key (lock),OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Spherical Coordinate System-Based Fusion Path Planning Algorithm for UAVs in Complex Emergency Rescue and Civil Environments,2026,Drones,Xingyi Pan; Xingyu He; Xiaoyue Ren; Duo Qi,0,Local optimum; Motion planning; Obstacle; Computer science; Particle swarm optimization; Population,OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Some progress on the use of the variational method in quantum field theory,2026,arXiv (Cornell University),Antoine Tilloy,0,Ansatz; Observable; Physics; Quantum field theory; Theoretical physics; Quantum,OpenAlex (latest topic aligned)
bees algorithm path planning dynamic obstacle,Towards Effective Forest Fire Response: A Cloud–Edge Collaborative UAV Deployment Strategy for Rapid Situational Awareness,2026,Fire,Yi Dong; Peifeng Li; Xiqing Guo; Zhuo Li,0,Situation awareness; Computer science; Task (project management); Software deployment; Workload; Real-time computing,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,Learning-Based Fusion for Robust Multi-Spectral Visual Servoing,2026,SPIRE - Sciences Po Institutional REpository,Enrico Fiasché; Siddharth Singh Savner; Ezio Malis; Philippe Martinet,0,Visual servoing; Computer vision; Artificial intelligence; Computer science; Fusion; Robustness (evolution),OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,Real-time Robotic Needle Insertion In Deformable and Moving Structure Using Learning-by-Example Method,2026,SPIRE - Sciences Po Institutional REpository,Thuc‐long Ha; Julien Bert; Hadrien Courtecuisse,0,Computer vision; Artificial intelligence; Computer science; Robot; Robotic arm; Engineering drawing,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,Off the Hamster Wheel: Rethinking Dialogue Research through a Meta-Analysis of the ACL Anthology 2024,2026,SPIRE - Sciences Po Institutional REpository,Amandine Decker; Maxime Amblard; Ellen Breitholtz,0,Sociology; Visual arts; Aesthetics; Media studies; Art; Gender studies,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,From Passive Sniffing to Active Signal Injection: Exploiting Physical Layer Vulnerabilities in 5G New Radio.,2026,"Nova Science Publishers (Nova Science Publishers, Inc.)",ALESSANDRA DINO,0,Humanities; Physics; Telecommunications; Art; Internet of Things; Computer science,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,Shared control for assistive and collaborative robotics,2026,SPIRE - Sciences Po Institutional REpository,Claudio Pacchierotti; Divyaksh Subhash Chander; Louise Devigne; Marie Babel; Charles Pontonnier,0,Robotics; Computer science; Human–computer interaction; Control (management); Artificial intelligence; Robot,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,MEASE: Multi-agent Episodic Action Sequence Explanation,2026,Singapore Management University Institutional Knowledge (InK) (Singapore Management University),Phyo Wai KHAING; Minghong Geng; Shubham PATERIA; Budhitama Subagdja; Ah-hwee TAN,0,Computer science; Executable; Action (physics); Abstraction; Cognitive psychology; CLARITY,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,Adversarial Heterogeneous Agent Learning for Robotic Systems: A Framework for Coordinated Competitive Behaviors,2026,Utah State Research and Scholarship (Utah State University),Christopher Allred,0,Adversarial system; Computer science; Interpretability; Robot; Human–computer interaction; Artificial intelligence,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,Human brain data: a valuable and open-ended resource for artificial intelligence,2026,Frontiers in Human Neuroscience,Maël Donoso,0,Neuroimaging; Computer science; Artificial intelligence; Artificial neural network; Human brain; Neuroinformatics,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,"Artificial intelligence, machine learning, and deep learning-based cybersecurity: Techniques, challenges, and future directions",2026,International Journal of Applied Resilience and Sustainability,Lebar-Ndibiri Esther Chinyere,0,Computer security; Computer science; Malware; Artificial intelligence; Resilience (materials science); Ransomware,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,Safeguarding the skies: the rise of machine learning approaches for cyberattack detection in unmanned aerial systems,2026,Cybersecurity,Tariq Mouatassim; Mohammed Airaj; El Mahdi EL GUARMAH,0,Computer science; Key (lock); Preprocessor; Safeguarding; Machine learning; Artificial intelligence,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,Proceedings of the XVII International Scientific and Practical Conference,2026,,,0,Engineering ethics; Political science; Computer science; Engineering; Library science; Government (linguistics),OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,"A Low-cost ""Plant-Scanner"" Platform for Automated Detection of  Ustilago Maydis Infection in Maize Using Deep Learning",2026,Research Square,Marvin Christ; Seyed Amir Hossein Tabatabaei; Niklas Ostwald; Oskar Seifert; Itzel Rubio Elizalde; Paul Klemm,0,Artificial intelligence; Deep learning; Ustilago; Computer science; Scalability; Machine learning,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,L-System Genetic Encoding for Scalable Neural Network Evolution: A Comparison with Direct Matrix Encoding,2026,Research Square,Alexander Stuy; Nodin Weddington,0,Encoding (memory); Artificial neural network; Computer science; Genetic algorithm; Population; Algorithm,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,Modern Control Meets Machine Learning: A Review and Taxonomy of Synergistic Approaches for Robotics Applications,2026,Actuators,Xiangyu Zhang; Guowei Li; Shahab Shokouhi; May-Win Thein,0,Computer science; Artificial intelligence; Taxonomy (biology); Categorization; Robotics; Reinforcement learning,OpenAlex (latest topic aligned)
robot manipulator adaptive control machine learning,TECHNOLOGY AS AN EXTENSION OF MAN: THE LIMITS OF THE POSSIBLE AND NEW PARADIGMS,2026,,Denis Vladlenov,0,Extension (predicate logic); Computer science; Limit (mathematics); Key (lock); Set (abstract data type); Field (mathematics),OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,Power Hardware-in-the-Loop–Based Module for the Emulation of Electric Power Distribution Systems,2026,Universidad Industrial de Santander,Sergio Manuel Brito Garcia,0,Humanities; Computer science; Emulation; Physics; Operating system; Software,OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,Multi-Camera Simultaneous Localization and Mapping for Unmanned Systems: A Survey,2026,Electronics,Guoyan Wang; Likun Wang; Jun He; Yanwen Jiang; Qiming Qi; Yueshang Zhou,0,Robustness (evolution); Software deployment; Bundle adjustment; Computer science; Consistency (knowledge bases); Simultaneous localization and mapping,OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,"Optimization of Compressor Preheating to Increase Efficiency, Comfort, and Lifespan",2025,Technologies,Anton Dianov,0,Gas compressor; Automotive engineering; Carbon footprint; Mode (computer interface); Engineering; Computer science,OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,Návrh a zprovoznění demonstračního polohovacího pracoviště s pohony pomocí frekvečních měničů siemens,2025,DSpace VŠB-TUO (VŠB-TUO),"Tomala, Vojtěch",0,Siemens; Physics; Engineering; Current (fluid); Computer science; Roller bearing,OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,A Review on Design and Performance Analysis of Solar Photovoltaic Water Pumping Systems Technologies,2025,INTERNATIONAL JOURNAL OF CREATIVE RESEARCH THOUGHTS,Gautam Gautam; Digpratap Singh,0,Photovoltaic system; Water pumping; Environmental science; Photovoltaic mounting system; Rooftop photovoltaic power station; Engineering physics,OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,Unified Control for Alternating Current Machines,2024,theses.fr (ABES),Rashad Ghassani,0,Humanities; Physics; Philosophy; Machine design; Computer science; Political science,OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,New Opportunities in Real-Time Diagnostics of Induction Machines,2024,Energies,Tatjana Baraškova; Karolina Kudelina; Veroonika Shirokova,5,Computer science; Engineering,OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,Dual Mode PID Controller for Path Planning of Encoder Less Mobile Robots in Warehouse Environment,2024,IEEE Access,R. Karthik; R. Menaka; Perla Sai Raj Kishore; R Aswin; C. S. Vikram,7,Computer science; MQTT; Real-time computing; Robot; Tree traversal; Mobile robot,OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,Technical and environmental aspects of solar photo-voltaic water pumping systems: a comprehensive survey,2023,Water Science & Technology Water Supply,V. Gunasekaran; Suprava Chakraborty,13,Payback period; Subsidy; Photovoltaic system; Water pumping; Renewable energy; Fossil fuel,OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,Autonomous Drone Electronics Amplified with Pontryagin-Based Optimization,2023,Electronics,Jiahao Xu; Timothy Sands,16,Trajectory; Control theory (sociology); Drone; Computer science; Control engineering; Trajectory optimization,OpenAlex (latest topic aligned)
encoderless motion systems smart sensor,Sensorless Saliency-Based Control of Dual Induction Machines Under Dynamic Load Imbalances Using Three Current Sensors,2023,IEEE Transactions on Industrial Electronics,Eduardo Rodriguez Montero; Markus Vogelsberger; Thomas Wolbank,3,Torque; Current sensor; Stator; Rotor (electric); Induction motor; Inverter,OpenAlex (latest topic aligned)
