title,year,doi,source_list,status,file_path,note,cluster
A Review on Design and Performance Analysis of Solar Photovoltaic Water Pumping Systems Technologies,2025,https://doi.org/10.56975/ijcrt.v13i5.287100,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2025_a-review-on-design-and-performance-analysis-of-solar-photovoltaic-water-pumping-systems-technologies.pdf,ok,related
Advanced gain-boosted CMOS LDO regulator for enhanced load regulation in RFSoC and mobile systems,2025,https://doi.org/10.1504/ijaac.2027.10075192,crossref_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2025_advanced-gain-boosted-cmos-ldo-regulator-for-enhanced-load-regulation-in-rfsoc-and-mobile-systems.pdf,ok:https://www.inderscience.com/www/leaflet.php?filename=IJAAC_leaflet.pdf,related
An investigative strategy for the iPhone forced entry zero-click exploit for mobile espionage,2025,https://doi.org/10.1504/ijesdf.2027.10072148,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Analysis of building energy efficiency optimization design effectiveness based on multi-objective optimization algorithm,2025,https://doi.org/10.24425/ace.2025.155084,crossref_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2025_analysis-of-building-energy-efficiency-optimization-design-effectiveness-based-on-multi-objective-optimization-algorithm.pdf,ok,related
COVID-19 and FinTech market efficiency: a test of adaptive market hypothesis,2025,https://doi.org/10.1504/ijef.2028.10072000,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Communication-Efficient Estimation of Regularized Smoothed Support Tensor Machine,2025,https://doi.org/10.5705/ss.202025.0109,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Concept map-facilitated game-based learning in the mobile era: a systematic review of journal publications from 2009 to 2024,2025,https://doi.org/10.1504/ijmlo.2026.152815,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Deep Learning and Feature Optimisation Algorithm for Course Recommendation Systems,2025,https://doi.org/10.1504/ijsse.2027.10068838,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Design of a Speed Sensorless Control System on a DC Motor using a PID Controller,2025,https://doi.org/10.24071/ijasst.v7i2.13271,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2025_design-of-a-speed-sensorless-control-system-on-a-dc-motor-using-a-pid-controller.pdf,ok,related
Determinants of Engagement with Health Insurance Mobile Apps to Enhance the Quality Of Life,2025,https://doi.org/10.1504/ijams.2027.10072249,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Determinants of perception of youth towards mobile banking: imprint from scale construction,2025,https://doi.org/10.1504/ijef.2028.10070471,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Distributed Algorithms for High-Dimensional Statistical Inference and Structure Learning with Heterogeneous Data,2025,https://doi.org/10.5705/ss.202025.0087,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
End Trajectory Tracking Control of Flexible Space Manipulator based on Improved RBF Neural Network,2025,https://doi.org/10.1504/ijims.2027.10071215,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Enhancing IoT Ecosystems with Adaptive Wireless Sensor Networks: Challenges and Solutions,2025,https://doi.org/10.1504/ijcis.2028.10073768,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Factors influencing behavioral intention of students to adopt mobile computer supported collaborative learning (mCSCL) in resource-constrained nations: A structural equation modelling approach.,2025,https://doi.org/10.1504/ijmlo.2027.10074734,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
GA-optimised fuzzy control for trajectory tracking of a 3-DOF robotic manipulator,2025,https://doi.org/10.1504/ijaac.2027.10075191,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
IDESC: a hybrid ESCSO-DDPG algorithm for risk-aware UAV path planning in radar environments,2025,https://doi.org/10.1504/ijaac.2027.10074071,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Impact d’un stage en unité spécialisée en soins palliatifs sur les représentations des étudiants en soins infirmiers. Étude qualitative au sein d’une équipe mobile de soins palliatifs,2025,https://doi.org/10.3917/spub.pr2.0061,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Improved artificial neural network approach for solving constrained optimal control of nonlinear fractional-order systems,2025,https://doi.org/10.1504/ijaac.2027.10075190,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Integration of Biomechanics and Digital Technology: Using Kinovea for Motion Analysis and Learning for Beginner Athletes,2025,https://doi.org/10.58524/jcss.v4i2.890,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Lateral Force Analysis and Deformation Detection Method for Nonlinear Underground Geotechnical Structures,2025,https://doi.org/10.1504/ijcis.2027.10072306,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Machine Learning-Based Defect Detection and Classification for Arecanut in Vision-Guided Robot Harvesting,2025,https://doi.org/10.1504/ijiei.2027.10075234,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Model-free Multivariate Change Point Detection and Localization with Statistical Guarantee,2025,https://doi.org/10.5705/ss.202024.0320,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Navigating retirement financial planning literature: a PRISMA complaint systematic approach,2025,https://doi.org/10.1504/ijef.2028.10068878,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Návrh a zprovoznění demonstračního polohovacího pracoviště s pohony pomocí frekvečních měničů siemens,2025,,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2025_n-vrh-a-zprovozn-n-demonstra-n-ho-polohovac-ho-pracovi-t-s-pohony-pomoc-frekve-n-ch-m-ni-siemens.pdf,ok,related
On a Flexible Generalized Model Averaging Forecasting of Nonlinear Time Series,2025,https://doi.org/10.5705/ss.202024.0371,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Optimising Accuracy Rate of Genomic Image Representation of Human Corona Virus Sequences for COVID-19 Detection using Modified Quantum-Based Marine Predators Algorithm,2025,https://doi.org/10.1504/ijids.2027.10070075,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
"Optimization of Compressor Preheating to Increase Efficiency, Comfort, and Lifespan",2025,https://doi.org/10.3390/technologies13120590,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2025_optimization-of-compressor-preheating-to-increase-efficiency-comfort-and-lifespan.pdf,ok:https://www.mdpi.com/2227-7080/13/12/590/pdf?version=1765792320,related
Precise State-of-Charge Estimation for LIBs: A Cutting-Edge Nonlinear Model Approach with Enhanced Robustness and Reliability,2025,https://doi.org/10.1504/ijcis.2028.10073299,crossref_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2025_precise-state-of-charge-estimation-for-libs-a-cutting-edge-nonlinear-model-approach-with-enhanced-robustness-and-reliabi.pdf,ok,related
Sensor fault diagnosis strategy based on rotor flux observers in three-phase induction motor drive,2025,https://doi.org/10.1038/s41598-025-29381-9,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2025_sensor-fault-diagnosis-strategy-based-on-rotor-flux-observers-in-three-phase-induction-motor-drive.pdf,ok,related
Sistem Kendali Kecepatan Motor Arus Searah tanpa Sensor Kecepatan dengan Observer Metode R,2025,https://doi.org/10.31544/jtera.v10.i2.2025.27-34,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Solar Photovoltaic System-Fed Battery Charging with Decision-Tree-Assisted Maximum Power Point Tracking,2025,https://doi.org/10.1504/ijcis.2027.10069855,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Technology-Based Start-Ups Mapping: a Bibliometric Study and Prospective Research Path,2025,https://doi.org/10.1504/ijte.2027.10075188,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Tests on Dynamic Ranking,2025,https://doi.org/10.5705/ss.202024.0153,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Zero-Day Intrusion Detection System: Training on Small Datasets with Advanced Data Augmentation and Ensemble Learning,2025,https://doi.org/10.1504/ijims.2028.10075219,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
$H_2/H_{\infty}$ Control for Stochastic Differential Systems with Partial Observation,2026,,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_h-2-h-infty-control-for-stochastic-differential-systems-with-partial-observation.pdf,ok,related
A DUNG BEETLE OPTIMIZED MPC ALGORITHM FOR MULTI-OBJECTIVE OPTIMIZATION OF UNMANNED AGRICULTURAL VEHICLE,2026,https://doi.org/10.35633/inmateh-78-35,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_a-dung-beetle-optimized-mpc-algorithm-for-multi-objective-optimization-of-unmanned-agricultural-vehicle.pdf,ok,related
A Hybrid PSO - SVM Algorithm for Enhanced Nodule Classification in CT Scans: Advancing Lung Cancer Diagnosis,2026,https://doi.org/10.1504/ijims.2028.10076884,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
A Hybrid SSA-BBO Algorithm for the Optimisation of Multi-Layer Perceptron Training,2026,https://doi.org/10.1504/ijiei.2027.10076900,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
"A Low-cost ""Plant-Scanner"" Platform for Automated Detection of  Ustilago Maydis Infection in Maize Using Deep Learning",2026,https://doi.org/10.21203/rs.3.rs-8667319/v1,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_a-low-cost-plant-scanner-platform-for-automated-detection-of-ustilago-maydis-infection-in-maize-using-deep-learning.pdf,ok,related
A Primal Dual Active Set with Continuation Algorithm for ℓ0-penalized High-dimensional Accelerated Failure Time Model,2026,https://doi.org/10.5705/ss.202025.0283,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
"A Provably Stable Geometric Bayesian Self-Healing Framework for Deep-Space Cyber-Physical Systems: SO(3) Attitude Dynamics, Multi-Physics Energy--Thermal Coupling, and Lessons from the 2025 Lunar Trailblazer Catastrophe",2026,https://doi.org/10.14293/pr2199.003447.v1,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_a-provably-stable-geometric-bayesian-self-healing-framework-for-deep-space-cyber-physical-systems-so-3-attitude-dynamics.pdf,ok,related
A Sensorless Control of PMSM Using Hybrid Fuzzy-Logic Adaptive Sliding Mode Approach,2026,https://doi.org/10.1587/transele.2025ecp5076,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_a-sensorless-control-of-pmsm-using-hybrid-fuzzy-logic-adaptive-sliding-mode-approach.pdf,ok:https://www.jstage.jst.go.jp/article/transele/advpub/0/advpub_2025ECP5076/_pdf,related
A Systematic Review and Taxonomy of Reinforcement Learning-Model Predictive Control Integration for Linear Systems,2026,,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_a-systematic-review-and-taxonomy-of-reinforcement-learning-model-predictive-control-integration-for-linear-systems.pdf,ok,related
A hybrid intelligent optimization algorithm combining weighted K-means clustering and improved ABC for optimal deployment of prehospital emergency heliports,2026,https://doi.org/10.1038/s41598-026-46331-1,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_a-hybrid-intelligent-optimization-algorithm-combining-weighted-k-means-clustering-and-improved-abc-for-optimal-deploymen.pdf,ok,related
AI-Enhanced Nonlinear Economic Modelling for Sports Systems: Linking Material Performance and Cybersecurity Risk in Insurance Cost-Benefit Analysis,2026,https://doi.org/10.1504/ijipt.2027.10076440,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Adaptive Exploration Proximal Policy Optimization for Efficient Robotic Continuous Control,2026,https://doi.org/10.3390/sym18050717,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_adaptive-exploration-proximal-policy-optimization-for-efficient-robotic-continuous-control.pdf,existing_pdf_url:ok:https://www.mdpi.com/2073-8994/18/5/717/pdf?version=1777015692,related
Adaptive state augmented backstepping control with NN approximation for 3-DOF robot under backlash like hysteresis,2026,https://doi.org/10.1504/ijaac.2027.10075794,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Advancements of robot-assisted language learning in the mobile era: a systematic review and bibliometric analysis,2026,https://doi.org/10.1504/ijmlo.2027.10075574,crossref_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_advancements-of-robot-assisted-language-learning-in-the-mobile-era-a-systematic-review-and-bibliometric-analysis.pdf,ok:https://www.inderscience.com/www/leaflet.php?filename=IJMLO_leaflet.pdf,related
Adversarial Heterogeneous Agent Learning for Robotic Systems: A Framework for Coordinated Competitive Behaviors,2026,,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Adversarial path planning for optimal CCTV surveillance: a case study on nuclear facility security optimization,2026,https://doi.org/10.1038/s41598-026-47647-8,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_adversarial-path-planning-for-optimal-cctv-surveillance-a-case-study-on-nuclear-facility-security-optimization.pdf,ok,related
An Asynchronous Two-Speed Kalman Filter for Real-Time UUV Cooperative Navigation Under Acoustic Delays,2026,,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_an-asynchronous-two-speed-kalman-filter-for-real-time-uuv-cooperative-navigation-under-acoustic-delays.pdf,ok,related
Analysis of Modern Approaches to Autonomous UAV Navigation,2026,https://doi.org/10.18372/1990-5548.88.20987,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Application of advanced fault-tolerant control techniques in the design of modern electric vehicles for increased reliability: a review,2026,https://doi.org/10.1080/00051144.2026.2619804,openalex_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Application of the model reference adaptive system method in sensorless control for elevator drive systems using 3-Phase permanent magnet synchronous motors,2026,https://doi.org/10.11591/ijece.v16i1.pp149-157,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_application-of-the-model-reference-adaptive-system-method-in-sensorless-control-for-elevator-drive-systems-using-3-phase.pdf,ok,related
Bacterial community composition and network complexity drive microbial and plant-derived carbon accumulation with long-term manure application,2026,https://doi.org/10.1016/j.still.2026.107220,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Based on Non-Inertial Frame Modeling for High-Dynamic Companion Flight Control Research,2026,https://doi.org/10.54097/6650ef71,openalex_latest_topic_aligned,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2026_based-on-non-inertial-frame-modeling-for-high-dynamic-companion-flight-control-research.pdf,ok,related
Bi-optimal Quantile-based Test Planning for Accelerated Degradation Test Based on Wiener Process,2026,https://doi.org/10.5705/ss.202025.0285,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Big Data Clustering Analysis Based on Improved K-means Algorithm,2026,https://doi.org/10.1504/ijwet.2027.10076842,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Biological motion perception in social and non‑social contexts: Differential links between fine motor skills and autistic traits,2026,https://doi.org/10.1016/j.rin.2026.100023,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
Bubble Modeling and Tagging: a Stochastic Nonlinear Autoregression Approach,2026,https://doi.org/10.5705/ss.202025.0450,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
"Buffering rescue and microbial functional redundancy drive the synergy in ternary co-digestion of food waste, fallen leaves, and sewage sludge",2026,https://doi.org/10.1016/j.biombioe.2026.109429,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
"Can Electric Vehicles (EVs) Drive our Smart Cities Exploring the Moderating Effect of Support Infrastructure, Model Choice-ability and Resale Value.",2026,https://doi.org/10.1504/ijams.2028.10077869,crossref_latest_topic_aligned,failed,,exhausted_or_nonpdf,related
